Rk,Player,Nationality,Position,Club,Age,Match Played,Starts,Minutes Played,Goals,Assist,Yellow Card,Red Card,2 Yellow Card,Penalty Kicks,Penalty Attempted,xG,xAG
244,Kike Hermoso,ESP,DF,Betis,21,1,1,90,1,0,0,0,0,0,0,0.2,0
245,Mario Hermoso,ESP,DF,Atlético Madrid,26,26,21,1865,2,1,6,1,0,0,0,2.2,0.8
246,Aridane Hernández,EQG,DF,Osasuna,32,15,12,1159,0,0,1,0,0,0,0,0.1,0.1
247,Luis Hernández,ESP,DF,Cádiz,32,16,15,1366,0,0,5,0,0,0,0,0.5,0.2
248,Mario Hernández,ESP,DFFW,Rayo Vallecano,22,9,5,395,1,0,3,0,0,0,0,0.2,0
249,Héctor Herrera,MEX,MF,Atlético Madrid,31,21,8,859,0,0,4,0,0,0,0,0.4,0.5
250,Sergio Herrera,ESP,GK,Osasuna,28,36,36,3240,0,0,3,0,0,0,0,0,0
251,Yangel Herrera,VEN,MF,Espanyol,23,23,19,1645,1,1,7,1,1,0,0,1.1,0.7
252,Matthew Hoppe,USA,FWMF,Mallorca,20,5,1,131,0,1,0,0,0,0,0,0.2,0.1
253,Robert Ibáñez,ESP,MFFW,Osasuna,28,4,1,93,0,0,0,0,0,0,0,0.2,0.3
254,Vicente Iborra,ESP,MF,Villarreal,33,20,12,1034,0,1,4,0,0,0,0,0.7,0.4
255,Oussama Idrissi,MAR,MFFW,Sevilla,25,5,2,127,0,0,1,0,0,0,0,0.1,0.1
256,Oussama Idrissi,MAR,MF,Cádiz,25,12,11,902,1,1,2,0,0,0,0,2,1.8
257,Iglesias,ESP,DF,Getafe,23,20,7,719,0,1,1,0,0,0,0,0.1,0.9
258,Borja Iglesias,ESP,FW,Betis,28,33,18,1573,10,0,4,0,0,3,3,7.7,2.7
259,Asier Illarramendi,ESP,MF,Real Sociedad,31,8,6,374,0,0,1,0,0,0,0,0,0.3
260,Nikita Iosifov,RUS,MF,Villarreal,20,1,0,1,0,0,0,0,0,0,0,0,0
261,Alexander Isak,SWE,FW,Real Sociedad,21,32,26,2140,6,2,6,0,0,2,2,9.8,3.2
262,Isco,ESP,MFFW,Real Madrid,29,14,3,331,1,0,1,0,0,0,0,0.7,1.4
263,Nicolas Jackson,SEN,FWMF,Villarreal,20,9,0,165,0,0,1,0,0,0,0,1,0.5
264,Jakub Jankto,CZE,DFMF,Getafe,25,14,6,587,0,2,1,1,0,0,0,0.2,1.4
265,Adnan Januzaj,BEL,FWMF,Real Sociedad,26,33,17,1625,3,0,5,0,0,2,2,4.1,2.9
266,Jason,ESP,MFFW,Alavés,27,14,10,678,0,1,1,0,0,0,0,0.9,1.7
267,Jason,ESP,MFDF,Valencia,27,5,1,75,0,0,2,0,0,0,0,0.1,0.2
268,Luis Javier Suárez,COL,FW,Granada,23,37,34,2844,8,4,6,0,0,0,1,9.8,3.1
269,Álvaro Jiménez,ESP,MFFW,Cádiz,26,9,1,234,0,0,0,0,0,0,0,0.1,0.1
270,Joaquín,ESP,FWMF,Betis,40,21,2,471,0,1,0,0,0,0,0,2,1.4
271,Jofre,ESP,MFDF,Espanyol,20,3,0,20,0,1,0,0,0,0,0,0,0.4
272,Frenkie de Jong,NED,MF,Barcelona,24,32,30,2476,3,3,7,1,1,0,0,4.8,3.4
273,Luuk de Jong,NED,FW,Barcelona,30,21,6,654,6,0,1,0,0,0,0,4.6,0.2
274,Joan Jordán,ESP,MF,Sevilla,27,36,31,2514,0,1,9,0,0,0,0,0.8,1.6
275,Josan,ESP,DFMF,Elche,31,31,10,1211,2,3,2,0,0,0,0,1,3.2
276,Willian José,BRA,FW,Betis,29,32,19,1604,8,4,2,0,0,3,3,6.1,3
277,Joselu,ESP,FW,Alavés,31,37,35,3122,14,4,0,0,0,6,7,12.9,4.5
278,Josema,ESP,DF,Elche,25,6,1,183,0,0,0,0,0,0,0,0,0.1
279,Luka Jovic,SRB,FW,Real Madrid,23,15,1,369,1,3,1,0,0,0,0,2.3,0.8
280,Miguel Juan Llambrich,ESP,DF,Espanyol,25,2,1,70,0,0,0,0,0,0,0,0,0
281,José Juan Macías,MEX,FWMF,Getafe,21,7,2,201,0,0,1,0,0,0,0,0.1,0
282,Juanmi,ESP,FW,Betis,28,33,26,2131,16,4,5,0,0,0,0,11.1,2.9
283,Lago Junior,CIV,FWMF,Mallorca,30,6,1,177,0,0,0,0,0,0,0,0.6,0
284,Vinicius Júnior,BRA,FW,Real Madrid,21,35,30,2690,17,10,6,0,0,0,0,12.3,8
285,Jutglà,ESP,FW,Barcelona,22,6,4,301,1,0,1,0,0,0,0,1.6,0.2
286,Jens Jønsson,DEN,MF,Cádiz,28,22,17,1303,0,1,3,0,0,0,0,0.4,0.9
287,Lee Kangin,KOR,MFFW,Mallorca,20,30,15,1411,1,2,4,1,1,0,0,1.5,2.1
288,Kike,ESP,FW,Osasuna,31,33,18,1862,5,1,2,0,0,1,1,6.7,2
289,Koba Koindredi,FRA,MF,Valencia,19,10,1,181,0,0,1,0,0,0,0,0,0.1
290,Koke,ESP,MF,Atlético Madrid,29,31,29,2508,1,2,6,0,0,0,0,1,1.5
291,Luca Koleosho,ITA,FW,Espanyol,16,1,0,1,0,0,0,0,0,0,0,0,0
292,Geoffrey Kondogbia,CTA,MFDF,Atlético Madrid,28,28,21,1882,1,2,13,2,2,0,0,0.4,0.9
293,Jules Koundé,FRA,DF,Sevilla,22,32,31,2736,2,1,2,2,0,0,0,1.1,2.3
294,Toni Kroos,GER,MF,Real Madrid,31,28,25,2103,1,3,4,0,0,0,0,2.2,3.2
295,Takefusa Kubo,JPN,FWMF,Mallorca,20,28,17,1605,1,0,4,0,0,0,0,2.8,3
296,Víctor Laguardia,ESP,DF,Alavés,31,34,34,3042,3,2,9,0,0,0,0,2,0.9
297,Diego Lainez,MEX,FW,Betis,21,7,1,140,0,0,0,0,0,0,0,0.1,0.4
298,Érik Lamela,ARG,FWMF,Sevilla,29,20,10,1015,5,2,5,0,0,0,0,3.1,1.7
299,Latasa,ESP,FW,Real Madrid,20,1,0,9,0,0,0,0,0,0,0,0.1,0
300,Toni Lato,ESP,DF,Valencia,23,11,7,590,0,1,5,0,0,0,0,0,0.5
301,Robin Le Normand,FRA,DF,Real Sociedad,24,37,37,3330,1,1,6,0,0,0,0,1.5,0.5
302,Jeremías Ledesma,ARG,GK,Cádiz,28,38,38,3420,0,0,4,0,0,0,0,0,0
303,Wu Lei,CHN,FWMF,Espanyol,29,23,4,474,1,0,0,0,0,0,0,1.1,0.9
304,Florian Lejeune,FRA,DF,Alavés,30,30,30,2699,0,0,9,1,1,0,0,1.5,0.2
305,Iñigo Lekue,ESP,DF,Athletic Club,28,25,22,1925,0,2,3,0,0,0,0,0.1,2.3
306,Thomas Lemar,FRA,MF,Atlético Madrid,25,24,17,1440,4,5,2,0,0,0,0,3.4,3.3
307,Ruben Lendinez,ESP,DF,Valencia,18,4,1,137,0,0,2,0,0,0,0,0,0
308,Clément Lenglet,FRA,DF,Barcelona,26,21,7,826,0,1,4,0,0,0,0,0.2,0.3
309,Javier Llabrés,ESP,FWMF,Mallorca,18,5,1,132,0,0,0,0,0,0,0,0.1,0.1
310,Marcos Llorente,ESP,MFDF,Atlético Madrid,26,29,29,2447,0,2,5,0,0,0,0,0.7,2.6
311,Giovani Lo Celso,ARG,FWMF,Villarreal,25,16,11,994,1,1,3,0,0,0,0,1.1,2.4
312,Julen Lobete,ESP,FWMF,Real Sociedad,20,13,2,284,2,0,0,0,0,0,0,1,0
313,Renan Lodi,BRA,DF,Atlético Madrid,23,29,13,1181,2,2,4,0,0,0,0,0.7,1.8
314,David López,ESP,MFDF,Espanyol,31,18,8,743,0,0,1,0,0,0,0,0.4,0.4
315,Diego López,ESP,GK,Espanyol,39,36,36,3177,0,0,4,0,0,0,0,0,0
316,Javi López,ESP,DF,Alavés,19,9,4,462,0,0,2,0,0,0,0,0,0.4
317,Unai López,ESP,MF,Rayo Vallecano,25,27,13,1160,0,0,5,0,0,0,0,1.1,1.4
318,Mamadou Loum,SEN,MF,Alavés,24,32,26,2312,2,0,10,0,0,0,0,2.9,0.6
319,Anthony Lozano,HON,FWMF,Cádiz,28,31,21,1672,7,2,8,0,0,0,0,5.1,0.9
320,Florentino Luís,POR,MF,Getafe,21,22,9,992,0,1,2,0,0,0,0,0.1,0.3
321,José Luis Gayà,ESP,DF,Valencia,26,24,22,1871,2,4,8,2,1,0,0,1.2,2.6
322,José Luis Morales,ESP,FWMF,Levante,34,35,31,2719,13,7,7,0,0,3,5,14.3,5.2
323,Luismi,ESP,FWMF,Sevilla,20,2,0,13,0,0,0,0,0,0,0,0,0
324,Andriy Lunin,UKR,GK,Real Madrid,22,2,2,180,0,0,0,0,0,0,0,0,0
325,Darwin Machís,VEN,MFFW,Granada,28,25,16,1376,4,2,2,0,0,0,0,1.8,2.3
326,Pablo Maffeo,ESP,DF,Mallorca,24,35,35,2945,1,4,10,0,0,0,0,1.7,2.1
327,Nemanja Maksimovic,SRB,MF,Getafe,26,35,34,2936,1,2,5,0,0,0,0,2.6,0.8
328,Hugo Mallo,ESP,DF,Celta Vigo,30,21,21,1826,1,1,5,2,1,0,0,0.9,2.7
329,Mickael Malsa,MTQ,MF,Levante,25,26,11,1143,1,2,7,0,0,0,0,1.1,1.7
330,Giorgi Mamardashvili,GEO,GK,Valencia,20,18,18,1620,0,0,2,0,0,0,0,0,0
331,Reinildo Mandava,MOZ,DF,Atlético Madrid,27,17,15,1298,0,0,5,0,0,0,0,0.5,0.1
332,Aïssa Mandi,ALG,DF,Villarreal,29,17,14,1375,1,0,3,0,0,0,0,2.3,0.1
333,Maranhão,BRA,FWMF,Valencia,24,29,8,973,1,3,3,0,0,0,0,3,2.6
334,Nikola Maraš,SRB,DF,Rayo Vallecano,25,16,11,1044,0,0,4,0,0,0,0,0,0.1
335,Marcelo,BRA,DF,Real Madrid,33,12,5,525,0,2,0,0,0,0,0,0.2,0.7
336,Iván Marcone,ARG,MF,Elche,31,20,10,809,0,0,5,0,0,0,0,0.1,0
337,Óscar de Marcos,ESP,DF,Athletic Club,32,22,19,1679,1,2,5,0,0,0,0,0.3,2.1
338,José Mari,ESP,MF,Cádiz,33,11,4,386,0,0,3,1,1,0,0,0.3,0
339,José María Giménez,URU,DF,Atlético Madrid,26,24,24,2042,1,1,7,0,0,0,0,1.7,0.9
340,Mariano,DOM,FW,Real Madrid,27,9,3,342,1,1,2,0,0,0,0,1.8,0.8
341,Mika Màrmol,ESP,DF,Barcelona,19,1,0,1,0,0,0,0,0,0,0,0,0
342,Roger Martí,ESP,FW,Levante,30,29,25,2115,7,3,8,0,0,1,3,8.4,3.2
343,Anthony Martial,FRA,FWMF,Sevilla,25,9,7,490,0,1,1,0,0,0,0,0.4,0.1
344,Martín,ESP,MF,Cádiz,22,6,1,115,0,0,1,0,0,0,0,0.1,0
345,Ander Martin,ESP,FWMF,Real Sociedad,20,5,1,88,0,0,0,0,0,0,0,0.1,0.1
346,Andrés Martín,ESP,FWMF,Rayo Vallecano,22,7,1,186,0,0,0,0,0,0,0,0.6,0
347,Carlos Martín,ESP,DF,Atlético Madrid,19,1,0,6,0,0,1,0,0,0,0,0,0
348,Iván Martín,ESP,MFFW,Alavés,22,6,2,166,0,0,0,0,0,0,0,0.1,0
349,Iñigo Martínez,ESP,DF,Athletic Club,30,27,26,2341,3,0,9,2,1,0,0,2,0.5
350,Javi Martínez,ESP,MFFW,Osasuna,21,26,9,879,1,1,1,0,0,0,0,0.8,0.6
351,Pablo Martínez,ESP,MF,Levante,23,13,7,656,0,1,2,0,0,0,0,0.5,0.9
352,Omar Mascarell,ESP,MF,Elche,28,32,30,2493,0,0,6,0,0,0,0,0.5,0.2
353,Jaime Mata,ESP,FW,Getafe,32,22,4,672,1,0,7,0,0,0,0,1.3,0.6
354,Luís Maximiano,POR,GK,Granada,22,35,35,3136,0,0,2,0,0,0,0,0,0
355,Borja Mayoral,ESP,FW,Getafe,24,18,11,1044,6,1,3,0,0,1,1,2.6,1.2
356,Jordi Mboula,ESP,FW,Mallorca,22,11,5,434,0,0,2,0,0,0,0,0.5,0.1
357,Óscar Melendo,ESP,MFFW,Espanyol,23,21,14,990,0,0,0,0,0,0,0,0.5,1.7
358,Gonzalo Melero,ESP,MF,Levante,27,29,20,1692,7,2,5,0,0,2,2,4.2,1
359,Memphis,NED,FW,Barcelona,27,28,20,1851,12,2,3,0,0,4,5,11.2,4.4
360,Tomás Mendes,ESP,MF,Alavés,16,1,0,9,0,0,0,0,0,0,0,0,0
361,Brais Méndez,ESP,MF,Celta Vigo,24,37,36,3021,4,5,8,0,0,0,0,4.6,3.3
362,Édgar Méndez,ESP,FWMF,Alavés,31,32,17,1614,1,1,6,0,0,0,0,1.5,2.5
363,Ferland Mendy,FRA,DF,Real Madrid,26,22,20,1734,2,1,4,0,0,0,0,1,1.4
364,Fran Mérida,ESP,MF,Espanyol,31,10,3,266,0,0,2,1,0,0,0,0.1,0.2
365,Mikel Merino,ESP,MF,Real Sociedad,25,34,33,2890,3,2,8,0,0,0,0,4.1,3.6
366,Martín Merquelanz,ESP,FWMF,Rayo Vallecano,26,4,3,173,0,0,0,0,0,0,0,0.2,0.9
367,Matt Miazga,USA,DF,Alavés,26,11,9,833,0,0,2,0,0,0,0,0.3,0.2
368,Miguel,ESP,FWMF,Alavés,21,22,10,829,1,1,2,0,0,0,0,1.9,0.3
369,Éder Militão,BRA,DF,Real Madrid,23,34,34,3031,1,2,5,0,0,0,0,2.5,1.1
370,Luis Milla,ESP,MF,Granada,26,34,33,2773,3,3,4,0,0,3,3,3.7,3.5
371,Pere Milla,ESP,MFFW,Elche,28,32,17,1644,8,3,4,0,0,0,0,4.9,1.7
372,Santi Mina,ESP,FW,Celta Vigo,25,33,30,2367,7,3,4,0,0,0,1,8.5,2.6
373,Óscar Mingueza,ESP,DF,Barcelona,22,19,9,894,0,1,2,0,0,0,0,0.3,0.9
374,Rafa Mir,ESP,FW,Sevilla,24,34,18,1808,10,0,6,0,0,0,0,7.5,0.3
375,Jorge Miramón,ESP,DF,Levante,32,29,22,1977,1,0,5,0,0,0,0,0.4,1.5
376,Juan Miranda,ESP,DF,Betis,21,13,9,783,0,2,3,0,0,0,0,0.2,1.4
377,Stefan Mitrovic,SRB,DF,Getafe,31,32,31,2667,0,0,8,1,0,0,0,0.2,0
378,Luka Modric,CRO,MF,Real Madrid,35,28,25,2032,2,8,4,0,0,1,1,2.5,5.2
379,Johan Mojica,COL,DF,Elche,28,33,32,2855,2,5,4,1,0,0,0,0.8,5.3
380,Jorge Molina,ESP,FW,Granada,39,35,19,1966,10,5,2,0,0,0,1,6.4,3.4
381,Jon Moncayola,ESP,MF,Osasuna,23,36,33,2915,2,3,2,0,0,0,0,2.3,1.7
382,Monchu,ESP,MF,Granada,21,14,7,668,0,0,3,1,0,0,0,0.4,0.8
383,Gonzalo Montiel,ARG,DF,Sevilla,24,18,15,1066,1,2,7,0,0,0,0,0.3,1.9
384,Ángel Montoro,ESP,MF,Granada,33,24,13,1331,1,1,5,0,0,0,0,1.4,1.5
385,Martín Montoya,ESP,DF,Betis,30,6,6,518,0,1,2,0,0,0,0,0.3,1
386,Jon Morcillo,ESP,MFFW,Athletic Club,22,7,0,54,0,0,2,0,0,0,0,0.6,0
387,Alberto Moreno,ESP,MFDF,Villarreal,29,24,13,1223,3,2,3,0,0,0,0,3.1,1.9
388,Álex Moreno,ESP,DF,Betis,28,30,28,2404,5,3,3,1,0,0,0,3.8,1.9
389,Gerard Moreno,ESP,FW,Villarreal,29,17,14,1191,9,3,2,0,0,1,2,7.4,4.9
390,Tete Morente,ESP,MF,Elche,24,32,18,1632,3,3,4,0,0,0,0,3,1.8
391,Ilaix Moriba,GUI,MF,Valencia,18,14,9,818,0,0,9,1,1,0,0,0.7,0.2
392,Manu Morlanes,ESP,MF,Espanyol,22,27,11,1144,2,0,6,1,0,0,0,0.7,0.3
393,Loren Morón,ESP,FWMF,Espanyol,27,21,4,563,1,0,0,0,0,0,0,0.7,0.7
394,Loren Morón,ESP,FW,Betis,27,1,0,4,0,0,0,0,0,0,0,0,0
395,Cristhian Mosquera,COL,DF,Valencia,17,6,3,212,0,0,1,0,0,0,0,0.3,0
396,Toni Moya,ESP,MF,Alavés,23,28,17,1386,0,1,2,0,0,0,0,1.3,1.8
397,Iker Muniain,ESP,MF,Athletic Club,28,35,34,2785,4,10,3,0,0,1,3,5.8,9.5
398,Aihen Muñoz,ESP,DF,Real Sociedad,23,20,15,1342,0,0,4,1,1,0,0,0.1,0.4
399,Jeison Murillo,COL,DF,Celta Vigo,29,19,12,1117,0,0,5,1,0,0,0,0.5,0
400,Vedat Muriqi,KVX,FW,Mallorca,27,16,16,1438,5,3,6,0,0,2,2,5.3,1.4
401,Yunus Musah,USA,MFFW,Valencia,18,29,13,1259,1,0,5,0,0,0,0,0.5,1.2
402,Shkodran Mustafi,GER,DF,Levante,29,11,8,658,1,0,1,0,0,0,0,0.1,0
403,Nacho,ESP,DF,Real Madrid,31,28,17,1555,3,0,7,0,0,0,0,1.3,0.3
404,Roberto Navarro,ESP,MFFW,Real Sociedad,19,6,3,199,0,0,0,0,0,0,0,0.5,0
405,Ximo Navarro,ESP,DF,Alavés,31,18,16,1347,0,0,4,1,0,0,0,0.6,0.4
406,Jesús Navas,ESP,DF,Sevilla,35,25,19,1786,0,3,4,0,0,0,0,0.4,4.6
407,Álvaro Negredo,ESP,FW,Cádiz,35,34,24,2157,7,2,3,0,0,2,3,7.3,2.7
408,Neto,BRA,GK,Barcelona,32,3,3,270,0,0,0,0,0,0,0,0,0
409,Carlos Neva,ESP,DF,Granada,25,26,24,2108,0,0,1,0,0,0,0,1,1.2
410,Saúl Ñíguez,ESP,FWMF,Atlético Madrid,26,3,2,201,0,1,0,0,0,0,0,0.3,0.1
411,Fernando Niño,ESP,FW,Mallorca,20,23,9,884,2,0,2,0,0,0,0,3.8,0.4
412,Peru Nolaskoain,ESP,DF,Athletic Club,22,1,0,1,0,0,0,0,0,0,0,0,0
413,Nolito,ESP,MF,Celta Vigo,34,32,15,1384,2,0,2,0,0,0,0,2.9,1.9
414,Randy Ntekja,FRA,FWMF,Rayo Vallecano,23,34,16,1462,3,0,2,0,0,0,0,3.4,1.4
415,Unai Núñez,ESP,DF,Athletic Club,24,9,7,622,0,0,2,0,0,0,0,0.8,0.2
416,Allan Nyom,CMR,DF,Getafe,33,5,3,244,0,0,1,0,0,0,0,0,0.1
417,Jan Oblak,SVN,GK,Atlético Madrid,28,38,38,3420,0,0,2,0,0,0,0,0,0
418,Lucas Ocampos,ARG,FW,Sevilla,27,30,23,2125,6,4,7,0,0,0,0,5.9,1.9
419,Lucas Olaza,URU,DF,Elche,27,5,3,295,1,0,1,0,0,0,0,0.7,0.3
420,Oier Olazábal,ESP,GK,Espanyol,31,2,1,135,0,0,0,0,0,0,0,0,0
421,Brian Oliván,ESP,DF,Mallorca,27,28,24,2189,1,0,7,0,0,0,1,1.8,2.2
422,Mathías Olivera,URU,DF,Getafe,23,32,32,2803,1,3,10,0,0,0,0,2.4,2.4
423,Javier Ontiveros,ESP,FWMF,Osasuna,23,3,0,39,0,0,0,0,0,0,0,0.1,0
424,Pedro Ortiz,ESP,MF,Sevilla,20,1,0,7,0,0,0,0,0,0,0,0.3,0.5
425,Milutin Osmajic,MNE,FWMF,Cádiz,22,10,2,257,0,0,0,0,0,0,0,0.3,0
426,Jesús Owono,EQG,GK,Alavés,20,1,1,90,0,0,0,0,0,0,0,0,0
427,Mikel Oyarzabal,ESP,FWMF,Real Sociedad,24,22,19,1671,9,3,0,1,0,4,5,9.3,3.7
428,Fernando Pacheco,ESP,GK,Alavés,29,34,34,3053,0,0,1,0,0,0,0,0,0.3
429,Jon Pacheco,ESP,DF,Real Sociedad,20,10,4,381,0,0,1,0,0,0,0,0,0
430,Helibelton Palacios,COL,DF,Elche,28,26,22,1931,0,0,6,0,0,0,0,0.1,0.1
431,Isaac Palazón Camacho,ESP,FWMF,Rayo Vallecano,26,34,27,2288,2,4,7,0,0,0,0,3.1,3.1
432,Daniel Parejo,ESP,MF,Villarreal,32,33,32,2704,2,10,3,0,0,1,1,1.5,6.9
433,Raúl Parra,ESP,DF,Cádiz,21,2,1,88,0,0,0,0,0,0,0,0,0
434,Javier Pastore,ARG,MFFW,Elche,32,13,6,525,0,0,2,1,0,0,0,0.5,0.7
435,Gabriel Paulista,BRA,DF,Valencia,30,19,19,1592,2,1,2,0,0,0,0,0.8,0.2
436,Alfonso Pedraza,ESP,DF,Villarreal,25,28,19,1701,4,4,2,0,0,0,0,1.9,5.2
437,Pedri,ESP,MF,Barcelona,18,12,10,885,3,1,0,0,0,0,0,1.3,1.2
438,Pedrosa,ESP,DF,Espanyol,23,31,31,2720,1,1,8,0,0,0,0,1,1.2
439,Facundo Pellistri,URU,MFFW,Alavés,19,21,6,672,0,0,0,0,0,0,0,0.5,0.5
440,Rubén Peña,ESP,MFFW,Villarreal,30,7,1,132,0,0,1,0,0,0,0,0.2,1.1
441,Alberto Perea,ESP,MF,Cádiz,30,18,8,777,0,1,2,0,0,0,0,0.9,0.6
442,Victor Perea,ESP,DF,Espanyol,21,1,0,4,0,0,0,0,0,0,0,0,0
443,Iñigo Pérez,ESP,MF,Osasuna,33,10,4,338,1,0,0,0,0,0,0,0.1,1
444,Juan Pérez,ESP,GK,Osasuna,25,2,2,180,0,0,0,0,0,0,0,0,0
445,Kike Pérez,ESP,MFFW,Elche,24,12,5,519,2,0,1,0,0,0,0,1,0.8
446,Lucas Pérez,ESP,FW,Elche,32,18,16,1266,2,1,0,0,0,0,0,2.2,1.6
447,Lucas Pérez,ESP,FWMF,Cádiz,32,15,11,1060,3,2,1,0,0,0,0,3.3,3.7
448,Njegoš Petrovic,SRB,MF,Granada,22,15,10,918,0,1,5,0,0,0,0,0.7,0.1
449,Alex Petxa,ESP,DFMF,Athletic Club,24,17,1,412,0,0,4,0,0,0,0,0.1,0.3
450,Germán Pezzella,ARG,DF,Betis,30,23,22,1988,1,0,5,1,0,0,0,1.3,0
451,Pablo Piatti,ARG,MFFW,Elche,32,10,3,312,0,0,0,0,0,0,0,0.2,0.4
452,Cristiano Piccini,ITA,DF,Valencia,28,6,3,322,1,0,1,0,0,0,0,0.2,0.1
453,Tomás Pina Isla,ESP,MF,Alavés,33,29,16,1444,0,0,4,0,0,0,0,0.5,0.3
454,Orbelín Pineda,MEX,MFFW,Celta Vigo,25,7,0,99,0,0,0,0,0,0,0,0.5,0
455,Yeremi Pino,ESP,MFFW,Villarreal,18,31,21,1678,6,4,2,0,0,0,0,5.5,3.5
456,Gerard Piqué,ESP,DF,Barcelona,34,27,25,2092,1,0,10,1,1,0,0,1.6,0.5
457,Ezequiel Ponce,ARG,FW,Elche,24,13,5,667,1,0,1,1,0,0,0,2.5,0.3
458,Pere Pons,ESP,MF,Alavés,28,27,17,1366,1,0,2,0,0,0,0,1.5,0.6
459,Portu,ESP,FWMF,Real Sociedad,29,37,17,1590,1,2,5,0,0,1,1,2.9,2.5
460,Sergio Postigo,ESP,DF,Levante,32,13,10,848,0,0,3,0,0,0,0,0.1,0.1
461,Darío Poveda,ESP,FWMF,Getafe,24,15,3,380,1,0,0,0,0,0,0,0.3,0.1
462,José Pozo,ESP,MFDF,Rayo Vallecano,25,5,0,72,0,0,0,0,0,0,0,0.1,0.3
463,Abdón Prats,ESP,FW,Mallorca,28,23,6,641,3,0,3,0,0,0,0,1.5,0.7
464,Alejandro Primo,ESP,GK,Levante,17,1,1,90,0,0,0,0,0,0,0,0,0
465,Javi Puado,ESP,MFFW,Espanyol,23,30,26,2245,4,1,5,0,0,0,0,4.9,1.2
466,Pubill,ESP,DFMF,Levante,18,11,5,512,0,1,1,0,0,0,0,0.9,1.2
467,Antonio Puertas,ESP,MFFW,Granada,29,33,25,2261,6,1,4,0,0,0,0,3.5,0.9
468,Riqui Puig,ESP,MF,Barcelona,21,15,2,487,1,0,0,0,0,0,0,0.7,0.2
469,Yacine Qasmi,MAR,FW,Rayo Vallecano,30,1,0,4,0,0,0,0,0,0,0,0,0
470,Quini,ESP,DF,Granada,31,32,27,2304,0,1,11,0,0,0,0,0.5,1.4
471,Dani Raba,ESP,MFFW,Villarreal,25,7,0,89,0,0,1,0,0,0,0,0,0.3
472,Dani Raba,ESP,MFFW,Granada,25,2,0,26,0,0,0,0,0,0,0,0,0
473,Uroš Racic,SRB,MF,Valencia,23,28,13,1206,0,0,3,1,1,0,0,0.9,0.4
474,Nemanja Radoja,SRB,MF,Levante,28,19,17,1214,0,0,3,0,0,0,0,0.3,0.8
475,Rafinha,BRA,MF,Real Sociedad,28,17,13,1050,1,0,3,0,0,0,0,2.5,0.5
476,Antonio Raillo,ESP,DF,Mallorca,29,17,17,1530,2,0,8,0,0,0,0,0.7,0
477,Ivan Rakitic,CRO,MF,Sevilla,33,35,26,2182,4,6,5,0,0,1,2,3.2,2.6
478,Jonás Ramalho,ESP,DF,Osasuna,28,3,3,243,0,0,0,0,0,0,0,0,0
479,Sandro Ramírez,ESP,FW,Getafe,26,29,19,1462,3,0,7,0,0,0,0,3,0.9
480,Raúl,ESP,FWDF,Betis,20,1,0,1,0,0,0,0,0,0,0,0,0
481,Lluís Recasens,ESP,DF,Espanyol,19,1,0,45,0,0,0,0,0,0,0,0,0
482,Manolo Reina,ESP,GK,Mallorca,36,21,21,1890,0,0,5,1,0,0,0,0,0
483,Karim Rekik,NED,DF,Sevilla,26,18,11,1098,0,2,2,0,0,0,0,0.2,0.4
484,Álex Remiro,ESP,GK,Real Sociedad,26,35,35,3150,0,0,1,0,0,0,0,0,0
485,Nico Ribaudo,ESP,MFFW,Espanyol,20,31,7,1116,2,0,5,1,1,0,0,1,1.4
486,Diego Rico,ESP,DF,Real Sociedad,28,21,19,1644,0,0,4,0,0,0,0,0.2,0.9
487,Sergio Rico,ESP,GK,Mallorca,27,14,14,1260,0,0,0,0,0,0,0,0,0
488,Luis Rioja,ESP,MFFW,Alavés,27,37,36,3111,1,3,3,0,0,0,0,3,5.1
489,Rober,ESP,DF,Levante,26,27,21,2010,1,0,5,1,1,0,0,1.3,0.2
490,Sergi Roberto,ESP,MFDF,Barcelona,29,9,4,400,2,1,1,0,0,0,0,1.5,0.4
491,Rubén Rochina,ESP,MFFW,Granada,30,15,8,743,1,3,3,0,0,0,0,0.6,0.8
492,Enzo Roco,CHI,DF,Elche,28,30,29,2552,1,0,10,0,0,0,0,1.3,0.1
493,Rodrigo,ESP,FW,Betis,21,21,10,881,1,2,1,0,0,0,0,1.4,1.8
494,Kévin Rodrigues,POR,DFFW,Rayo Vallecano,27,13,5,435,0,0,0,0,0,0,0,0.1,0.1
495,Ángel Rodríguez,ESP,FWMF,Mallorca,34,29,19,1544,4,2,4,0,0,0,0,3.9,0.9
496,Óscar Rodríguez Arnaiz,ESP,MFFW,Getafe,23,18,9,943,0,1,2,0,0,0,0,1,0.9
497,Óscar Rodríguez Arnaiz,ESP,FWMF,Sevilla,23,11,4,417,0,0,1,0,0,0,0,0.6,0.8
498,Dani Rodríguez,ESP,MFFW,Mallorca,33,36,33,2832,3,3,7,0,0,0,0,3.2,2.8
499,Guido Rodríguez,ARG,MF,Betis,27,32,29,2529,1,2,9,1,1,0,0,1,0.5
500,Rodrygo,BRA,FW,Real Madrid,20,33,17,1523,4,4,4,0,0,0,0,3.4,2.4
501,Leonardo Román,ESP,GK,Mallorca,21,2,2,180,0,0,0,0,0,0,0,0,0
502,Iván Romero,ESP,FW,Sevilla,20,5,2,178,0,0,0,0,0,0,0,0.7,0
503,Unai Ropero,ESP,MF,Alavés,19,1,0,12,0,0,0,0,0,0,0,0,0
